trait,attribute,family
snout-vent length,exceeded by nmzb-um 11338 measuring 247+13 mm,amphisbaenidae
coloration,"uniform dark brown caudad, paler below",amphisbaenidae
nasal,short blind sulcus extending forward from the rear edge,amphisbaenidae
head shields,no fusion in the temporal region,amphisbaenidae
segments in a midbody annulus,24-36,amphisbaenidae
build,more slender,amphisbaenidae
svl/diameter ratio,35-40,amphisbaenidae
preoculars,discrete,amphisbaenidae
parietals,four,amphisbaenidae
postoculars,two,amphisbaenidae
temporals,three (2-4),amphisbaenidae
supralabials,three,amphisbaenidae
postsupralabials,two,amphisbaenidae
postmental,one and half times as long as mental,amphisbaenidae
postgenials,two,amphisbaenidae
postmalars,nine (8-9),amphisbaenidae
infralabials,three,amphisbaenidae
annuli on body,207 (198-205),amphisbaenidae
tail,43 (30),amphisbaenidae
dorsal segments,16 (12-18),amphisbaenidae
ventral segments,14 (12-18),amphisbaenidae
caudal annulus,ninth (6th to 8th),amphisbaenidae
autotomy site,marked by a slight constriction,amphisbaenidae
pre-cloacal pores,four,amphisbaenidae
last body annulus,has 4 precloacal pores,amphisbaenidae
postcloacal segments,10 (9-12),amphisbaenidae
svl/diameter ratio,40 (35-39),amphisbaenidae
tail,14.7 (13.1) % of total length,amphisbaenidae
size,220 + 38 mm,amphisbaenidae
diameter,5.5 mm,amphisbaenidae
colouration,uniform brown above,amphisbaenidae
ventrum,anterior half of each segment pigmented,amphisbaenidae
temporal shield,"single, large",amphisbaenidae
preoculars,discrete,amphisbaenidae
parietals,"usually no, rarely 1-3",amphisbaenidae
postocular,single,amphisbaenidae
temporal,single,amphisbaenidae
postmental,about 1 1/2 times as long as the mental,amphisbaenidae
postgenials,two rows,amphisbaenidae
postgenials,2-4 + 2-6,amphisbaenidae
postmalars,5-16,amphisbaenidae
infralabials,3,amphisbaenidae
annuli on body,183-205,amphisbaenidae
annuli on tail,40-54,amphisbaenidae
dorsal segments,14-24,amphisbaenidae
ventral segments,12-16,amphisbaenidae
autotomy site,the 5th to 9th caudal annulus,amphisbaenidae
precloacal pores,four,amphisbaenidae
postcloacal segments,10-18,amphisbaenidae
svl/diameter ratio,22-39,amphisbaenidae
tail,13.9 - 20.0 % of total length,amphisbaenidae
largest size,275 + 58 = 333 mm,amphisbaenidae
snout-vent length,280 mm,amphisbaenidae
pigmentation in juveniles,"pale, brown",amphisbaenidae
juvenile ventrum,white with traces of brown pigment,amphisbaenidae
pigmentation in adults,maximum of 90% on dorsal and 60% on ventral segments black,amphisbaenidae
chin and throat color,white,amphisbaenidae
snout,rounded,amphisbaenidae
"basipterygoid processes, partes posteriores choan arum and supratemporals",absent,amphisbaenidae
quadrate,dilated proximally,amphisbaenidae
post orbital arch,peculiar,amphisbaenidae
dentition,"7; 4; 7 [premaxillary, maxillary and mandibular number of teeth]",amphisbaenidae
prefrontal shields,"longitudinally divided, four in all",amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
nasal,has a suture with its fellow behind the rostral,amphisbaenidae
"postfrontals, parietals, occipitals, temporals, labials, postmental, sublabial",a pair,amphisbaenidae
ocular,"moderate, eye distinct",amphisbaenidae
upper labials,third largest,amphisbaenidae
mental,"moderate, subquadrangular",amphisbaenidae
annuli on body,221-242,amphisbaenidae
annuli on tail,41-50,amphisbaenidae
segments in a midbody annulus,33-38 (17-22 + 16-22),amphisbaenidae
anals,4-6,amphisbaenidae
preanal pores,4,amphisbaenidae
dentition,premaxillary teeth 2; maxillaries 3-3; mandibulars 5-5,amphisbaenidae
measurements,total length 208 (176 + 32) mm,amphisbaenidae
species of zygaspis,"discrete preoculars, variable fusion of shields in the temporal area",amphisbaenidae
body annuli,usually in the range 207-245,amphisbaenidae
annuli on body,195-245,amphisbaenidae
annuli on tail,32-50,amphisbaenidae
ventrum,"unpigmented anteriorly, but becomes lightly pigmented caudad",amphisbaenidae
dorsum,"light purple-brown, darkening posteriorly",amphisbaenidae
pre- and postcloacal segments,generally lack pigment,amphisbaenidae
total length,245 + 43 = 288 mm,amphisbaenidae
trunk annuli,"197 à 219 ,14 à 18 dorsal, 12 à 16 ventral",amphisbaenidae
preanals,6,amphisbaenidae
labials,3,amphisbaenidae
preoculars,fused with prefrontals,amphisbaenidae
parietals,fused with frontals,amphisbaenidae
postocular,single,amphisbaenidae
temporal,"single, large",amphisbaenidae
postsupralabials,fused with temporal,amphisbaenidae
body annuli,lower counts,amphisbaenidae
caudal annuli,higher counts,amphisbaenidae
tail,proportionately longer,amphisbaenidae
segments in a midbody annulus,more numerous,amphisbaenidae
preoculars,"discrete, lacking",amphisbaenidae
parietals,"discrete, lacking",amphisbaenidae
postocular and temporal,single,amphisbaenidae
supralabials,three,amphisbaenidae
postsupralabials,fused with temporal,amphisbaenidae
postmental,subequal in length to mental or much shorter,amphisbaenidae
postgenials,"in two or three rows, 2 or 3 + 4 to 6",amphisbaenidae
postmalars,7-11,amphisbaenidae
infralabials,"three, second much the largest",amphisbaenidae
body annuli,174-182,amphisbaenidae
tail annuli,50-59,amphisbaenidae
dorsal segments/midbody annulus,18-22,amphisbaenidae
ventral segments/midbody annulus,16-20,amphisbaenidae
lateral sulci,well defined,amphisbaenidae
autotomy site,after the 7th to 9th caudal annulus,amphisbaenidae
precloacal pores,four,amphisbaenidae
svl/diameter,29-36,amphisbaenidae
tail size,18.9-23.3% of total length,amphisbaenidae
size,"165 + 50 = 215 mm, diameter 4.5 mm",amphisbaenidae
dorsum color,uniform blackish-brown,amphisbaenidae
snout color,paler,amphisbaenidae
supralabials color,paler,amphisbaenidae
ventral segments color,pigment restricted to anterior edge,amphisbaenidae
"chin, throat and cloacal segments",largely white,amphisbaenidae
snout,"rounded, prominent",amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
nasals,forming a suture behind rostral,amphisbaenidae
"pre-frontals, frontals, occipitals","large, pair, narrow",amphisbaenidae
temporals,"six on either side, arranged in two semi-vertical rows of three, largest superiorly and smallest inferiorly",amphisbaenidae
upper labials,three,amphisbaenidae
ocular,"moderate, eye distinct",amphisbaenidae
mental shape,trapezoidal,amphisbaenidae
chin shield,"large, median, pentagonal to heptagonal",amphisbaenidae
lower labials,"three, second very large",amphisbaenidae
body annuli,about 196,amphisbaenidae
tail annuli,49 to 50,amphisbaenidae
dorsal and ventral segments,each annulus contains 16 dorsal and 16 ventral segments; the two median ventral segments broader than the others,amphisbaenidae
lateral line,distinct,amphisbaenidae
anal segments,"four, well-defined, much enlarged",amphisbaenidae
pre-anal pores,four,amphisbaenidae
dorsal color,dull purple,amphisbaenidae
ventral color,"lighter, with scattered whitish segments",amphisbaenidae
"body annuli, caudal annuli, and segments in a midbody annulus","183-206, 44-50, 28-33",amphisbaenidae
size,small,amphisbaenidae
autotomy site,following the 6th to 10th caudal annulus,amphisbaenidae
autotomy signs,9 specimens (29%) have autotomised tails,amphisbaenidae
svl/diameter ratio,28-43,amphisbaenidae
tail,14.7-18.8% of total length,amphisbaenidae
dorsal color,uniform purple-brown,amphisbaenidae
ventral color,"slightly lighter, darkening on the tail",amphisbaenidae
chin and throat color,pale,amphisbaenidae
one large shield,covering the head,amphisbaenidae
occipitals,a pair,amphisbaenidae
ocular,small,amphisbaenidae
eye,indistinguishable,amphisbaenidae
rostral,"separating the nasals, not bordering the nostrils",amphisbaenidae
nasals,"elongate, not reaching the ocular",amphisbaenidae
upper labials,"3, third largest",amphisbaenidae
mental,moderate,amphisbaenidae
postmental,"large, pentagonal",amphisbaenidae
chin shields,"2, in contact with third lower labial",amphisbaenidae
annuli on body,193,amphisbaenidae
annuli on tail,11,amphisbaenidae
segments in a midbody annulus,"34 (20 + 14), the 2 median ventral segments slightly more than two times as broad as long",amphisbaenidae
pectorals,4,amphisbaenidae
anals,2,amphisbaenidae
preanal pores,1-1,amphisbaenidae
total length,215 (205 + 10) mm,amphisbaenidae
head shields,without major fusion,amphisbaenidae
large parietals,one pair,amphisbaenidae
occipitals,enlarged,amphisbaenidae
tail,blunt-tipped cylindrical,amphisbaenidae
autotomy annulus at the eighth caudal annulus,faint,amphisbaenidae
cicatricial precloacal pores,two,amphisbaenidae
nonpored medial scales,a pair of,amphisbaenidae
body annuli,202-213,amphisbaenidae
caudal annuli,18-19,amphisbaenidae
dorsal segments to the midbody annulus,16-17,amphisbaenidae
ventral segments to the midbody annulus,18-22,amphisbaenidae
rows of postgenials,one or two,amphisbaenidae
color of preserved specimens,light brown,amphisbaenidae
ventral region,cre`me white,amphisbaenidae
snout,elongate,amphisbaenidae
nasals,paired,amphisbaenidae
frontals,paired,amphisbaenidae
parietals,paired,amphisbaenidae
body annuli,242,amphisbaenidae
caudal annuli,30,amphisbaenidae
dorsal segments per annuli at midbody,23,amphisbaenidae
ventral segments per annuli at midbody,23,amphisbaenidae
precloacal pores,4,amphisbaenidae
supralabials,4,amphisbaenidae
infralabials,3,amphisbaenidae
distance between nostril and upper lip,equals distance from nostril to suture between nasals,amphisbaenidae
checkered pattern,black and white,amphisbaenidae
dorsal and lateral parts of body,checkered pattern,amphisbaenidae
ventral surface color,immaculate creamy white,amphisbaenidae
cercolophia,medium-sized,amphisbaenidae
snout,rounded,amphisbaenidae
head,"markedlly narrower than the trunk, laterally compressed, convex in profile",amphisbaenidae
neck,constricts,amphisbaenidae
body posterior to the neck,distinct widening,amphisbaenidae
upper head scales,"paired, including nasals, prefrontals, frontals, parietals",amphisbaenidae
head scales,no major fusion and upper parts of nasarostral sutures are lost,amphisbaenidae
postmalar row,absent,amphisbaenidae
body annuli,239-242,amphisbaenidae
lateral annuli and caudal annuli,4 and 14-15 respectively,amphisbaenidae
dorsal and ventral segments to a midbody annulus,usually 18,amphisbaenidae
lateral sulcus,markedly apparent,amphisbaenidae
precloacal pores,two,amphisbaenidae
5th or 6th caudal annulus,"slightly narrowed, scales on it are narrower, same or fewer number than in adjacent annuli",amphisbaenidae
precloacal pores,presence of four,amphisbaenidae
body annuli,286-292,amphisbaenidae
body annuli,333-337,amphisbaenidae
constriction site,9th or 10th tail annuli,amphisbaenidae
body annuli,282-286,amphisbaenidae
tail annuli,17-20,amphisbaenidae
autotomic site,on annulus 8th,amphisbaenidae
snout-vent length,316 mm,amphisbaenidae
male tail,longer than female,amphisbaenidae
nasorostral scale,fused with nasals in some specimens (47%),amphisbaenidae
nasorostral scale,not in all (53%),amphisbaenidae
nasais independentes,separated by the rostral,amphisbaenidae
supralabiais,4,amphisbaenidae
anéis corporais,253-272,amphisbaenidae
anéis caudais,17-21,amphisbaenidae
segmentos em um anel no meio do corpo,18-24:16-21,amphisbaenidae
aba anal,4 escamas alongadas,amphisbaenidae
fileira de poros,"dividindo em duas áreas distintas, cada uma com dois poros",amphisbaenidae
size,moderate-sized to 254 mm svl,amphisbaenidae
body shape,robust,amphisbaenidae
tail,"long, with caudal autotomy",amphisbaenidae
pigmentation,extensive,amphisbaenidae
head scales,no major alterations,amphisbaenidae
chin configuration,has y configuration,amphisbaenidae
interannular spaces,"very wide, granule-filled",amphisbaenidae
paramedian pairs of ventral segments,"medially narrowed, deep pits",amphisbaenidae
body,heavier than a. caudalis,amphisbaenidae
head,longer than a. caudalis,amphisbaenidae
number of cloacals,19-23,amphisbaenidae
total segments to a midbody annulus,35-38,amphisbaenidae
internasal sutures,average shorter,amphisbaenidae
body annuli,longer posteriorly,amphisbaenidae
tail,long,amphisbaenidae
number of caudal annuli,17-20,amphisbaenidae
first infralabials,small,amphisbaenidae
second row of postgenials,4 scales,amphisbaenidae
pigmentation,more extensive and heavier than a innocens,amphisbaenidae
hemipenes,"larger, with greater development of pleats and terminal lamellae",amphisbaenidae
size,"moderate-sized, robust, relatively long-headed, short-tailed",amphisbaenidae
svl,220 mm,amphisbaenidae
chin condition,y,amphisbaenidae
body annuli,"very long, 150-164",amphisbaenidae
positive “difference counts”,"high, 10-30",amphisbaenidae
posterior annuli spanned by the jaw measurement,4.5-5.5,amphisbaenidae
rows of postgenials,two,amphisbaenidae
number of segments to a midbody annulus,"30-31, 12-13 (above the lateral fold), 18 (below the lateral fold)",amphisbaenidae
color pattern on dorsum,bright yellow,amphisbaenidae
venter color,grayish white,amphisbaenidae
series of large head shields,five,amphisbaenidae
precloacal pores,two,amphisbaenidae
"supraocular, preocular, and infraocular shields",absent,amphisbaenidae
snout-vent length (svl),423-531mm,amphisbaenidae
head,"small, short",amphisbaenidae
snout,"broad, slightly upturned",amphisbaenidae
dorsal head shields,arranged in five series of large plates,amphisbaenidae
rostronasal shield,"wedge-shaped, weakly keratinized, wider than long",amphisbaenidae
azygous shield,"large, larger than frontal, longer than wide",amphisbaenidae
prefrontal shields,longer than frontals and azygous,amphisbaenidae
frontal,longer than wide,amphisbaenidae
parietal,wider than long,amphisbaenidae
supralabial shields,two,amphisbaenidae
infralabial shields,three,amphisbaenidae
eyes,small,amphisbaenidae
pectorals,"diamond-shaped, medium sized",amphisbaenidae
pectoral annuli,15-16,amphisbaenidae
post-pectoral annuli,246,amphisbaenidae
caudal annuli,11,amphisbaenidae
lateral annuli,4,amphisbaenidae
segments per annulus,23-25 + 25-28,amphisbaenidae
precloacal pores,"one on each side, rounded, small but well formed",amphisbaenidae
dorsum color in life,bright yellow,amphisbaenidae
venter color in life,whitish,amphisbaenidae
color in preservative,uniformly grayish white,amphisbaenidae
tail,"short, blunt, nonautotomic",amphisbaenidae
tail with small conic tubercules,at their diagonal and dorsally oriented tip,amphisbaenidae
precloacal pores,no visible,amphisbaenidae
nasals,paired,amphisbaenidae
prefrontals,paired,amphisbaenidae
frontals,paired,amphisbaenidae
parietals,paired,amphisbaenidae
body annuli,210–213,amphisbaenidae
caudal annuli,12–13,amphisbaenidae
dorsal segments,14,amphisbaenidae
ventral segments per annuli at midbody,14–15,amphisbaenidae
supralabials,3,amphisbaenidae
infralabials,3,amphisbaenidae
head,not distinct from the trunk,amphisbaenidae
mouth,ventral,amphisbaenidae
prefrontals,the largest head scales,amphisbaenidae
nasals,forming a suture on the snout,amphisbaenidae
preanal pores,4,amphisbaenidae
2 prefrontals,distinct from nasals and labials,amphisbaenidae
suture between nasals,about one-half that between prefrontals,amphisbaenidae
temporals,small,amphisbaenidae
ocular,in contact with second and third upper labials,amphisbaenidae
lateral line,no adjective,amphisbaenidae
segments in a ring on the middle of the body,44,amphisbaenidae
rings on the body,276,amphisbaenidae
color above,dark purplish brown,amphisbaenidae
sides and underside,pale,amphisbaenidae
forward half,distinct lavender pink tinge,amphisbaenidae
snout-vent-length,206 mm,amphisbaenidae
tail,21 mm,amphisbaenidae
diameter of body,5 mm,amphisbaenidae
caudal annuli,22-26,amphisbaenidae
seventh and/or eighth caudal annulus,"narrower, often with pigmented ventral segments",amphisbaenidae
tail,"longer, with constriction at autotomy level",amphisbaenidae
postgenials in first row,4 to 5,amphisbaenidae
marked elongation of dorsal segments of trunk annuli,7 to 12a,amphisbaenidae
size,medium-sized,amphisbaenidae
snout-vent length,385 mm,amphisbaenidae
precloacal pores,one or two pairs,amphisbaenidae
dorsal postpectoral half-annuli,299–341,amphisbaenidae
ventral postpectoral half-annuli,302–349,amphisbaenidae
tail annuli,13–15,amphisbaenidae
precloacal vertebrae,118–121,amphisbaenidae
dorsal segments in midbody half-annulus,32–37,amphisbaenidae
ventral segments in midbody half-annulus,30–36,amphisbaenidae
supralabials,two,amphisbaenidae
infralabials,two,amphisbaenidae
large plates in dorsal head shields posterior to rostronasal,four series,amphisbaenidae
pectoral shields,mostly diamond-shaped,amphisbaenidae
head length,2.6–3.2% snoutvent length,amphisbaenidae
rostronasal length,20.4–23.1% head length,amphisbaenidae
azygous width,30.8–41.9% head width,amphisbaenidae
azygous length,40.1–51.4% head length,amphisbaenidae
frontal length,23.7–38.2% head length,amphisbaenidae
prefrontal length,37.2–44.4% head length,amphisbaenidae
narrow head,37.2% head length,amphisbaenidae
a row of occipitals anterior to the first body annulus,eight,amphisbaenidae
mental and postmental,fused,amphisbaenidae
rows of postgenials located between malars,four,amphisbaenidae
malars posterior to the second infralabial,two,amphisbaenidae
elongate rostral,in contact with the frontals,amphisbaenidae
frontal,longer than wide,amphisbaenidae
ocular,27.7% of head length,amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,three,amphisbaenidae
second supralabial,ca. two times longer than the other supralabials,amphisbaenidae
second supralabial,longer than high,amphisbaenidae
body annuli,294 + n,amphisbaenidae
head,relatively massive,amphisbaenidae
snout,"prominent, swollen",amphisbaenidae
body,stocky,amphisbaenidae
total length of adults,"350-500 mm, 555mm for one specimen",amphisbaenidae
tail,clavate,amphisbaenidae
autotomy annulus,fifth to seventh,amphisbaenidae
rostral,"moderate, low",amphisbaenidae
nasals,large,amphisbaenidae
prefrontal,moderate,amphisbaenidae
postfrontals,"forming together a rough hexagon, wider than long",amphisbaenidae
three upper labials,"the first smallest, the second and third variously divided and fused, at times suggesting preoculars or anterior suboculars",amphisbaenidae
one true subocular,"above the third labial, which may be horizontally split",amphisbaenidae
two irregular temporal series,no adjective,amphisbaenidae
symphysial,"roughly anvil-shaped, sometimes fused with one of the infralabials, which are 3 or 4, at times split or fused",amphisbaenidae
post-symphysial,"elongate, sometimes longitudinally split",amphisbaenidae
remaining scales of the mental region,variable,amphisbaenidae
precloacal pores,four,amphisbaenidae
body annuli,333–337,amphisbaenidae
caudal annuli,22–23,amphisbaenidae
autotomic site,on annuli 10–12,amphisbaenidae
tail tip,pointed or keeled,amphisbaenidae
dorsal segments per annuli at midbody,14,amphisbaenidae
ventral segments per annuli at midbody,17–18,amphisbaenidae
ventral sulcus,fainted,amphisbaenidae
nasal and prefrontal scales,absent,amphisbaenidae
rostral,fused with nasal and prefrontal scales,amphisbaenidae
frontal scales,"fused, forming a single, large, and wide heptagonal scale",amphisbaenidae
supra and infralabials,three,amphisbaenidae
presence of more than 300 body annuli,no adjective,amphisbaenidae
frontal scales,"fused, forming a single large scale on top of the head",amphisbaenidae
tenth anteriormost body annuli,chevron-shaped,amphisbaenidae
body annuli,139,amphisbaenidae
belly,lacks pigment,amphisbaenidae
ventral surface of the tail,heavily pigmented,amphisbaenidae
body annuli,least number,amphisbaenidae
dorsal midbody segments,higher number,amphisbaenidae
body annuli,lower number,amphisbaenidae
midbody ventral segments,14,amphisbaenidae
head and snout,more pointed than keel-shaped,amphisbaenidae
snout,prognathous,amphisbaenidae
nostrils,in small nasals on underside snout,amphisbaenidae
rostral,"large, elongate and coniform",amphisbaenidae
posterior tip rostral,reaching level anterior tips oculars,amphisbaenidae
prefrontals,"large, in contact behind rostral",amphisbaenidae
frontals,"medium-sized, in broad medial contact",amphisbaenidae
supralabials,"two, first small, second very large",amphisbaenidae
ocular,elongate triangular,amphisbaenidae
eye,"very small, visible in anterior tip ocular",amphisbaenidae
postocular,one,amphisbaenidae
mental,"in contact with first and second infralabials, ending in two sharp points",amphisbaenidae
postmental,oval,amphisbaenidae
infralabials,"two, first small, second very large",amphisbaenidae
second infralabial,twice as high as second supralabial,amphisbaenidae
postgenials,"three or four, irregular rows",amphisbaenidae
segments in gular region,regular,amphisbaenidae
dorsal body scales,"quadrangular, with central depression",amphisbaenidae
ventral body scales,"rectangular, without central depression",amphisbaenidae
body scales,arranged in transverse row (annuli),amphisbaenidae
sulci,"no dorsal, lateral or ventral sulci",amphisbaenidae
precloacal pores,"two pairs, separated by two median scales without pores",amphisbaenidae
autotomy annulus,"poorly marked, present in holotype at seventh tail annulus, but absent in two paratypes",amphisbaenidae
tail tip,"with an elevated, flat, wide, vertical, unsegmented band-like double edged structure with concave sides",amphisbaenidae
hemipenis,"without spines or distinct ridges, sulcus spermaticus only on proximal one third",amphisbaenidae
color in life,"pink on head and anterior body, dorsal parts brown, ventral parts cream, tip of tail very dark brown",amphisbaenidae
eye color,bright blue,amphisbaenidae
color in preservative,"anterior part body and ventral region cream, dorsal parts brown, darkest on tail tip",amphisbaenidae
svl in male,245 mm,amphisbaenidae
svl in female,253 mm,amphisbaenidae
nasals,"small, separated from each other by the rostral",amphisbaenidae
pre-cloacal pores,"two, separated from each other by the cloacal shield",amphisbaenidae
body annuli,221–242,amphisbaenidae
caudal annuli,10–13,amphisbaenidae
dorsal segments/midbody annulus,21–23,amphisbaenidae
ventral segments/midbody annulus,21–23,amphisbaenidae
tail,without visible autotomic constriction,amphisbaenidae
rostrum,rounded,amphisbaenidae
nasals,separated from each other by the rostral,amphisbaenidae
pores,only two,amphisbaenidae
body annuli,240–242,amphisbaenidae
caudal annuli,12–13,amphisbaenidae
dorsal postpectoral half‐annuli,404‐448,amphisbaenidae
ventral postpectoral half‐ annuli,408‐448,amphisbaenidae
nostrils,opening on the ventral surface of snout,amphisbaenidae
nasal,absent,amphisbaenidae
rostral and nasals,fused into a single shield,amphisbaenidae
gular portion,without segmental cover,amphisbaenidae
prefrontals bone with nasal process,long and 't' shaped,amphisbaenidae
frontal portion of head,strongly depressed,amphisbaenidae
pectoral shields,"irregular form, not disposed in dermal annuli",amphisbaenidae
snout,rounded,amphisbaenidae
nasal shields,in contact on the dorsal portion of head,amphisbaenidae
caudal autotomy,externally visible,amphisbaenidae
segments in the tip of the tail,plain,amphisbaenidae
precloacal pores,four,amphisbaenidae
supralabial shields,3/3,amphisbaenidae
infralabial shields,3/3,amphisbaenidae
body annuli,190–204,amphisbaenidae
caudal annuli,24–27,amphisbaenidae
dorsal segments in the midbody annulus,12–14,amphisbaenidae
ventral segments in the midbody annulus,16–18,amphisbaenidae
presence of postmalar row,absence,amphisbaenidae
head shields,without major fusion,amphisbaenidae
supralabials,three,amphisbaenidae
shape of first supralabial,rhomboid,amphisbaenidae
infralabials,three,amphisbaenidae
third infralabial,pentagonal,amphisbaenidae
rows of postgenials,two,amphisbaenidae
body annuli,306,amphisbaenidae
caudal annuli,21,amphisbaenidae
eighth postcloacal annulus,more pigmented than adjacent annuli,amphisbaenidae
dorsal segments,10,amphisbaenidae
ventral segments,14,amphisbaenidae
tip of tail,with a vertical keel,amphisbaenidae
lateral sulci,distinct,amphisbaenidae
snout-vent length,248.8 ± 10.9 mm svl in males and 257.3 ± 24 mm svl in females,amphisbaenidae
precloacal pores,six,amphisbaenidae
body annuli,252–264,amphisbaenidae
dorsal and ventral segments to the midbody annulus,20–22 dorsal and 21–24 ventral,amphisbaenidae
nasals in broad contact at midline,no adjective,amphisbaenidae
head scales fusion,without,amphisbaenidae
supralabials,"three, third one larger",amphisbaenidae
infralabials,"three, second the largest",amphisbaenidae
suture between frontals,two times larger than the parietal and nasal sutures,amphisbaenidae
lateral sulci,"present, starting on 42th segment, no dorsal or ventral sulci",amphisbaenidae
tail length and shape,tail long with length maximum 70mm and cylindrical,amphisbaenidae
tail annuli,30–34 tail annuli with autotomy on the 6th,amphisbaenidae
tip of the tail,rounded,amphisbaenidae
snout-vent length,143–278 mm,amphisbaenidae
tail length,19.3–70 mm,amphisbaenidae
body annuli,251–270,amphisbaenidae
tail annuli,29–34,amphisbaenidae
dorsal and ventral segments of midbody annulus,"19–22 and 20–24, respectively",amphisbaenidae
precloacal pores,5–6 (usually 6),amphisbaenidae
supralabials,3–4 (usually 4),amphisbaenidae
size,small-sized,amphisbaenidae
svl,maximum 157 mm,amphisbaenidae
precloacal pores,two,amphisbaenidae
snout,rounded in lateral and dorsal views,amphisbaenidae
tail,rounded,amphisbaenidae
body annuli,233–250,amphisbaenidae
caudal annuli,20–24,amphisbaenidae
autotomy sites on caudal annuli,6–9,amphisbaenidae
dorsal segments,10,amphisbaenidae
ventral segments,12–14,amphisbaenidae
postmalar row,absent,amphisbaenidae
suture between frontals,slightly smaller than parietal and nasal sutures,amphisbaenidae
tail,short relative to body length (tail length/body length = 0.10),amphisbaenidae
maximum svl,157 mm,amphisbaenidae
dorsal and ventral segments,10 and 12–14,amphisbaenidae
postmalars,absent,amphisbaenidae
suture between prefrontals,smaller than the suture between the frontals,amphisbaenidae
tl/bl,0.10,amphisbaenidae
museau,arrondi,amphisbaenidae
rostrale,triangulaire,amphisbaenidae
nasales,forming a suture,amphisbaenidae
frontales,a pair,amphisbaenidae
œil,distinct,amphisbaenidae
temporales,2 grandes,amphisbaenidae
supérieures-labiales,3,amphisbaenidae
inférieures-labiales,3,amphisbaenidae
body annuli,194-197,amphisbaenidae
annuli (body rings) on the tail,42-47,amphisbaenidae
segments in body ring,30-34,amphisbaenidae
precloacal segments,6,amphisbaenidae
number of precloacal pores,4,amphisbaenidae
pigmentation,"""similar to that of a. quadrifrons katangae""",amphisbaenidae
dorsal color,brown,amphisbaenidae
ventral color,paler,amphisbaenidae
body size,large,amphisbaenidae
number of parietals,2-5,amphisbaenidae
postoculars,2,amphisbaenidae
temporals,2-3,amphisbaenidae
supralabials,3,amphisbaenidae
infralabials,3,amphisbaenidae
body annuli,195-199,amphisbaenidae
tail annuli,37-44,amphisbaenidae
svl/diameter ratio,25-33,amphisbaenidae
tail length,15.8 to 18.7 % of total length,amphisbaenidae
holotype size,226 + 52 =278 mm (diameter 7 mm),amphisbaenidae
pigmentation,"brown, not extending to the distal edges of dorsal segments and restricted to the proximal edges of ventral segments",amphisbaenidae
snout,rounded,amphisbaenidae
body,slender,amphisbaenidae
lateral and dorsal sulci,well visible,amphisbaenidae
precloacal pores,two; medially located; rounded,amphisbaenidae
body annuli,230-241,amphisbaenidae
caudal annuli,19-22,amphisbaenidae
doral and ventral segments,12-14(dorsal); 14 (ventral),amphisbaenidae
tail,with marked autotomic constriction at caudal annuli 6-8; tip laterally compressed,amphisbaenidae
supralabials,three,amphisbaenidae
postsupralabial,one,amphisbaenidae
infralabials,three,amphisbaenidae
post-infralabial,one,amphisbaenidae
median hiatus between precloacal pores,no,amphisbaenidae
dorsal sulcus,well-marked,amphisbaenidae
tail tip,laterally compressed,amphisbaenidae
autotomic constriction at caudal annuli,faint or absent,amphisbaenidae
dorsal segments,fewer than 12,amphisbaenidae
museau,arrondi,amphisbaenidae
segments pectoraux,non différenciés,amphisbaenidae
rostrale,petite,amphisbaenidae
segments around the midbody,44,amphisbaenidae
dorsal segments,26,amphisbaenidae
ventral segments,18,amphisbaenidae
size,grande (290 mm for the holotype),amphisbaenidae
frontale médiane,présence,amphisbaenidae
écaillure céphalique,complète,amphisbaenidae
supraoculaire,absente,amphisbaenidae
pores cloacaux,12,amphisbaenidae
body rings(anneaux le long du corps),235,amphisbaenidae
tail rings(anneaux le long de la queue),25,amphisbaenidae
museau,arrondi,amphisbaenidae
pectoral segments,non différenciés (undifferentiated),amphisbaenidae
rostrale,petite (small),amphisbaenidae
frontale médiane (median frontal),1 (presence),amphisbaenidae
"fusion of the nasal to the anteriormost supralabials, the preocular, and the prefrontal",side of the head,amphisbaenidae
oculaire (ocular),distinct,amphisbaenidae
fusion of the first posterior supralabial with the postocular,1 (presence),amphisbaenidae
fusion of the second posterior supralabial with the temporals,1 (presence),amphisbaenidae
segments per annulus,"8 dorsal, 7 ventral",amphisbaenidae
mid-ventral segment,très élargi (very wide),amphisbaenidae
frontale,distinctes,amphisbaenidae
oculaire,distinctes,amphisbaenidae
temporale,distinctes,amphisbaenidae
occipitale,distinctes,amphisbaenidae
supralabiales antérieures,fusion,amphisbaenidae
nasale,fusion,amphisbaenidae
préfrontale,fusion,amphisbaenidae
post-frontale,fusion,amphisbaenidae
pariétale,fusion,amphisbaenidae
supralabiales postérieures,three,amphisbaenidae
temporales,two,amphisbaenidae
dorsal segments,10 or 12,amphisbaenidae
ventral segments,eight,amphisbaenidae
cloacal pores,six,amphisbaenidae
amphisbaenian,"medium-sized, largest specimen total length 309.5 mm",amphisbaenidae
nostril openings,on the ventral surface of snout,amphisbaenidae
rostral and nasals,fused into a single shield,amphisbaenidae
gular portion,without segmental cover,amphisbaenidae
prefrontal bones,nasal process long and 't' shaped,amphisbaenidae
frontal portion of the head,greatly depressed,amphisbaenidae
pectoral shields,irregular,amphisbaenidae
